44,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,RT,BATT_A_V,12,V,4,NONE,0,0,3,Cell A,Battery pair A voltage (0-2.5V scale)
1,RT,BATT_B_V,12,V,4,NONE,0,0,3,Cell A + B,Battery pairs A+B voltage (0-3.3V scale)
2,RT,BATT_V,12,V,cubesatsim_ina219_voltage,Battery,3,1,3,Cell A + B + C,Battery A+B+C voltage (0-5.0V scale)
3,RT,BATT_A_T,12,C,8,NONE,0,0,3,Temperature A,Battery pair A temperature
4,RT,BATT_B_T,12,C,8,NONE,0,0,3,Temperature B,Battery pair B temperature
5,RT,BATT_C_T,12,C,8,NONE,0,0,3,Temperature C,Battery pair C temperature
6,RT,TOTAL_BATT_I,12,mA,cubesatsim_ina219_current,Battery,3,2,3,Current,Total Battery DC current
7,RT,BATTBoardTemperature,12,C,8,NONE,0,0,3,Board Temp,Battery Card Temperature
8,RT,PANEL_PLUS_X_V,12,V,cubesatsim_ina219_voltage,+X Panel,6,2,3,Voltage,+X Panel
9,RT,PANEL_MINUS_X_V,12,V,cubesatsim_ina219_voltage,-X Panel,9,2,3,Voltage,-X Panel
10,RT,PANEL_PLUS_Y_V,12,V,cubesatsim_ina219_voltage,+Y Panel,7,2,3,Voltage,+YPanel
11,RT,PANEL_MINUS_Y_V,12,V,cubesatsim_ina219_voltage,-Y Panel,10,2,3,Voltage,-Y Panel
12,RT,PANEL_PLUS_Z_V,12,V,cubesatsim_ina219_voltage,+Z Panel,8,2,3,Voltage,+Z Panel
13,RT,PANEL_MINUS_Z_V,12,V,cubesatsim_ina219_voltage,-Z Panel,11,2,3,Voltage,-Z Panel
14,RT,PANEL_PLUS_X_I,12,mA,cubesatsim_ina219_current,+X Panel,6,1,3,Current,+X Panel
15,RT,PANEL_MINUS_X_I,12,mA,cubesatsim_ina219_current,-X Panel,9,1,3,Current,-X Panel
16,RT,PANEL_PLUS_Y_I,12,mA,cubesatsim_ina219_current,+Y Panel,7,1,3,Current,+Y Panel
17,RT,PANEL_MINUS_Y_I,12,mA,cubesatsim_ina219_current,-Y Panel,10,1,3,Current,-Y Panel
18,RT,PANEL_PLUS_Z_I,12,mA,cubesatsim_ina219_current,+Z Panel,8,1,3,Current,+Z Panel
19,RT,PANEL_MINUS_Z_I,12,mA,cubesatsim_ina219_current,-Z Panel,11,1,3,Current,-Z Panel
20,RT,PSUVoltage,12,V,cubesatsim_ina219_voltage,PSU,4,2,3,Board Voltage,Power Supply Voltage
21,RT,SPIN,12,rpm,12,Computer,2,2,3,Spacecraft Spin,Calculated spin rate using solar cells
22,RT,TXPACurrent,12,mA,10,NONE,1,0,3,PA Current,Transmit power amplifier current
23,RT,TXTemperature,12,C,7,NONE,1,0,3,TX Temperature,Transmitter card temperature
24,RT,RXTemperature,12,C,7,Radio,1,1,3,RX Temperature,Receiver card temperature
25,RT,RSSI,12,dBm,14,Radio,1,2,3,RSSI,Received Signal Strength Indication
26,RT,IHUTemperature,12,C,cubesatsim_temperature,Computer,2,1,3,Temperature,Internal Temperature of IHU
27,RT,SatelliteXAxisAngularVelocity,12,dps,13,+X Panel,6,3,3,Rotation,Angular Veolcity around X Axis
28,RT,SatelliteYAxisAngularVelocity,12,dps,13,+Y Panel,7,3,3,Rotation,Angular Veolcity around Y Axis
29,RT,SatelliteZAxisAngularVelocity,12,dps,13,+Z Panel,8,3,3,Rotation,Angular Veolcity around Z Axis
30,RT,EXP4Temperature,12,C,7,NONE,5,0,0,EXP4 Temperature,Not used
31,RT,PSUCurrent,12,mA,cubesatsim_ina219_current,PSU,4,1,3,Current,Power Supply DC Current
32,RT,IHUDiagnosticData,32,-,18,Computer,2,7,0,Diagnostic Info,Diagnostic Data on IHU Performance
33,RT,Experiment1FailureIndication,1,-,17,Experiments,5,1,0,STEM Payload Status,STEM Payload Board Status
34,RT,Experiment2FailureIndication,1,-,17,NONE,5,0,0,Not installed,Not used
35,RT,Experiment3FailureIndication,1,-,17,NONE,5,0,0,Not installed,Not used
36,RT,Experiment4FailureIndication,1,-,17,NONE,5,0,0,Not installed,Not used
37,RT,BATTI2CFailureIndications,1,-,17,Computer,2,3,0,Battery I2C,Battery I2C Bus failure indicator
38,RT,PSU1I2CFailureIndications,1,-,17,Computer,2,4,0,PSU1 I2C,PSU2 I2C Bus failure indicator
39,RT,PSU2I2CFailureIndications,1,-,17,Computer,2,5,0,PSU2 I2C,PSU2 I2C Bus failure indicator
40,RT,NumberofGroundCommandedTLMResets,4,-,1,Computer,2,6,0,Ground Resets,Number of times command stations reset stored telemetry
41,RT,RXAntenna,1,-,16,Radio,1,4,0,RX Antenna,70cm Antenna status
42,RT,TXAntenna,1,-,16,Radio,1,3,0,TX Antenna,2m Antenna status
43,RT,Pad,51,-,0,NONE,0,0,0,NONE,NONE
